model,strategy,precision,recall,f1,pr_auc
xgboost,class_weight,1.0,0.9892086330935251,0.9945750452079566,0.9909551155067166
xgboost,smote,1.0,0.9856115107913669,0.9927536231884058,0.990411145224573
random_forest,class_weight,1.0,0.9892086330935251,0.9945750452079566,0.9903934305659967
random_forest,vanilla,1.0,0.9856115107913669,0.9927536231884058,0.9903820090865528
random_forest,downsample,0.9683098591549296,0.9892086330935251,0.9786476868327402,0.9898574978134214
random_forest,smote,1.0,0.9892086330935251,0.9945750452079566,0.9898134507969882
xgboost,vanilla,1.0,0.9748201438848921,0.9872495446265938,0.9893649576993032
logistic_regression,class_weight,0.9891304347826086,0.9820143884892086,0.9855595667870036,0.9848102568655575
xgboost,downsample,0.985663082437276,0.9892086330935251,0.9874326750448833,0.9844397894357261
logistic_regression,vanilla,1.0,0.9388489208633094,0.9684601113172542,0.9815222121623074
logistic_regression,smote,1.0,0.9712230215827338,0.9854014598540146,0.9805014779774781
logistic_regression,downsample,0.975,0.9820143884892086,0.978494623655914,0.9741180855672997
